District;2017;2018;2019;2020;2021
Balakhtinsky municipal district;79591;27025;151169;379954;709689
Berezovsky Municipal district;98580;333320;485431;587302;806559
Boguchansky municipal district;8182;5848;3264383;27430;3987132
Bolshemurtinsky municipal district;1016153;1525571;1015558;1847812;1942102
Bolsheuluysky municipal district;875112;1833167;3073318;2296747;6251709
Yemelyanovsky municipal district;1216798;1259732;969345;1244447;2718811
Yenisei Municipal District;0;0;0;0;10476
Ilansky Municipal district;8953;11716;12260;9938;232
Kansky Municipal District;427962;450640;484919;513485;612405
Kezhemsky municipal district;6203360;6758016;8262104;9111985;12579686
Krasnoturansky municipal district;14030;23099;17866;138969;369808
Kuraginsky municipal district;131161;97571;186053;289469;460171
Mansky Municipal District;15136;0;17294;0;0
Minusinsky municipal district;113643;99001;125733;0;0
Motyginsky municipal district;14072856;17894185;13201389;14251548;14293211
Nazarovsky municipal district;720315;360601;234706;193793;196303
Novoselovsky Municipal district;0;0;94078;0;0
Rybinsk Municipal district;161987;63727;108554;138567;121389
Severo-Yenisei Municipal District;99560525;45262618;93053957;547804750;268010010
Evenki Municipal District;141611;87993;41038;322526;232482
Sukhobuzimsky municipal district;0;118997;165075;172135;0
Taimyr Dolgano-Nenets Municipal District;176992948;210198142;626570428;384250509;403903523
Turukhansky municipal district;68791212;90657883;66049424;24572422;88664686
Uzhursky municipal district;801887;649238;1546173;2147967;3109863
Uyarsky municipal district;70515;510862;268870;69053;1223871
Sharypovsky municipal district;1013268;867838;1566603;209343;536914
Shushensky municipal district;309147;401402;434640;378176;613470
Krasnoyarsk;94865961;171054029;196287954;219665965;414250301
city Achinsk;3316255;4053104;3288937;2111134;1443741
city Bogotol;23727;0;0;0;0
city Divnogorsk;13615340;21695715;66920939;28799121;62969814
city Yeniseisk;0;1777;2170;4178;0
city Kansk;70388;67216;76963;71512;147544
city Lesosibirsk;249085;212679;504494;199214;5945323
city Minusinsk;213482;206072;188345;355655;215680
city Nazarovo;1547536;937033;1548528;603241;1841109
city Norilsk;8080557;13793048;30577551;34560984;31179818
city Sosnovoborsk;102698;79461;142189;296581;256783
city Sharypovo;0;0;0;14236;13460
